Dialogue,Character,Label
"Hey, Patrick.",spongebob,1
"Huh? SpongeBob? Oh come on, where are you hiding? This isn't funny!  Huh.",not spongebob,0
"Patrick, I'm right here.",spongebob,1
"Oh, hey SpongeBob! How'd ya get there?",not spongebob,0
"Well, I was on this see-saw-",spongebob,1
Slide!,not spongebob,0
"Patrick, do you need help?",spongebob,1
"Huh? With the slide stuck to my bottom? Nah, I want it there.  I hate you slide!  Oh, sorry SpongeBob.",not spongebob,0
"Hey look, a swingset!  Can't go wrong with this old-time playground favorite.  Weee. Hey, this is almost like being at The Great Barrier Reef, huh? Try it, Patrick.",spongebob,1
Okay.  It's not working.,not spongebob,0
Go back and forth like this.  There you go! Now you're getting into the... swing of things!,spongebob,1
"Hey, watch me go!",not spongebob,0
Patrick?,spongebob,1
Patrick! I'm coming!,spongebob,1
Patrick?,spongebob,1
SpongeBob?,not spongebob,0
Patrick! Are you okay?,spongebob,1
"No, I'm not okay.",not spongebob,0
You're not?,spongebob,1
"No, I'm great! That was awesome! Let's do it again!",not spongebob,0
"Yeah, Patrick, wait for me.",spongebob,1
Something tells me that is a one-way drain.,spongebob,1
"How long have we been walking here, Patrick?",spongebob,1
"Well, that depends on who you ask.",not spongebob,0
Why?,spongebob,1
"Well, if you ask someone with a watch, they might be able to tell you.",not spongebob,0
Are you getting hungry?,spongebob,1
Yeah! How'd you know?,not spongebob,0
I could hear your stomach growling. For a second I thought it was some scary monster coming to eat us.,spongebob,1
That's funny! Couldn't have been my stomach growling though.,not spongebob,0
It couldn't?,spongebob,1
Nope. I had its vocal cords removed before the trip.,not spongebob,0
"Well, I coud've sworn that I heard-",spongebob,1
"SpongeBob, I heard it! I heard growling!",not spongebob,0
"No, that time it was my stomach. There's got to be something around here to eat.  Patrick, I found some berries we can-  not eat!",spongebob,1
Thanks for the warning.,not spongebob,0
"Patrick, where did you get  the kelp cake?",spongebob,1
From the vending machine!,not spongebob,0
Oh.,spongebob,1
Was it your stomach that time too?,not spongebob,0
Nope. ...Run for your life!,spongebob,1
It's getting closer!  Oh no! It's a sheer drop-off! What do we do?,spongebob,1
Don't ask me! I don't remember being eaten alive on this trip's itinerary.,not spongebob,0
I'm too young to be digested!,spongebob,1
"Wait, SpongeBob! I know how to get us out of this!",not spongebob,0
You do?,spongebob,1
"I saw something like this in a movie once! Now watch closely, and do exactly what I do!",not spongebob,0
Roger!,spongebob,1
"Okay, now what?",spongebob,1
"Uh... I'm not sure, I fell asleep in the second half of the movie!",not spongebob,0
"Well, I hope that monster's carrying some syrup!",not spongebob,0
"Yeah, cause if he's eating us, he's having pancakes for lunch!",spongebob,1
"Patrick, we did it!",spongebob,1
We're not gonna be eaten!,not spongebob,0
Hooray for not being eaten!,spongebob,1
Hooray!,not spongebob,0
We're not gonna be eaten! We're not gonna be eaten!,not spongebob,0
"Hey, SpongeBob?",not spongebob,0
"Yeah, Patrick?",spongebob,1
All this not being eaten is making me hungry.,not spongebob,0
"Oh, don't worry. When we get to The Great Barrier Reef, we'll eat like kings!",spongebob,1
Alright!,not spongebob,0
"Alright! Now put 'er there, Patrick!",spongebob,1
Put 'er there!,not spongebob,0
"Ooh Patrick, have you been using a different moisturizer? Your hands feel kind of-",spongebob,1
"Oh no, it's just the same old moisturizer I always use.",not spongebob,0
"Oh, come on, SpongeBob, don't leave me hanging here!",not spongebob,0
"Let me guess, it's time to start screaming again?",not spongebob,0
Wait a second.  Okay now.,spongebob,1
"SpongeBob, as much as I'd like to stay and hang around, I'm not sure now's the time.",not spongebob,0
"I know Patrick, but now it seems to be-  Our best possible course of action!",spongebob,1
"Well, I'd probably be really enjoying the view if I still had some blood flowing in my arms. Ow!",not spongebob,0
"Don't worry, Patrick, your patience isn't the only thing that's wearing thin!  Grab it, Patrick!",spongebob,1
"Grabbing!  Okay SpongeBob, your turn! SpongeBob!",not spongebob,0
"Oh, I got it!",spongebob,1
"Whew, that was a close one, right Patrick?",spongebob,1
"Yeah, but it looks like everything worked out just... fine...",not spongebob,0
"Patrick... Patrick, did you hear that?",spongebob,1
It sounded like it came from the other side of this big rock!,not spongebob,0
"This isn't a big rock, it's a big wall!)",spongebob,1
Do you think it belongs to that gift shop right there?,not spongebob,0
What would a gift shop be doing right in the middle of nowhere?,spongebob,1
Uh... selling gifts?,not spongebob,0
"Wow Patrick, look at all this stuff!  You gonna buy something?",spongebob,1
"No, I'm not in the market for any souvenirs.",not spongebob,0
"Oh, you could never have to many-  Oh no! I just realized what this place is!",spongebob,1
You have?,not spongebob,0
"Patrick, we have walked straight into a  tourist trap.",spongebob,1
A trap!,not spongebob,0
Shhh...,spongebob,1
A trap!,not spongebob,0
"Come on. Let's escape, before we spend all our money on useless trinkets.",spongebob,1
"Patrick, wait, I saw a very nice driftwood sculpture over there that would work great as a mantlepiece.",spongebob,1
"SpongeBob, no!",not spongebob,0
SpongeBob!,not spongebob,0
"Patrick, that tourist shop took me for everything I had! Now we don't have any money, we're still lost, and we're gonna be in big trouble! Oh, this vacation is a disaster!",spongebob,1
SpongeBob I-,not spongebob,0
I don't think this vacation has been a disaster.,not spongebob,0
You don't?,spongebob,1
"No! Of course not, see?! We did everything we dreamed of doing at The Great Barrier Reef.",not spongebob,0
"Patrick, you're right! We went down a sewage pipe...",spongebob,1
Like a slide.,not spongebob,0
Bounced off a huge anemone...,spongebob,1
Like a trampoline.,not spongebob,0
Hid in a nest!,spongebob,1
Like a fort!,not spongebob,0
And swung on some vines! Which are a lot like ropes! This vacation has it all!,spongebob,1
All except for one thing.,not spongebob,0
What's that?,spongebob,1
A way out of here.,not spongebob,0
My poor parents must be worried sick.,spongebob,1
I suggest we take a nap here until they come and find us! That way we'll be well-rested on the way home.,not spongebob,0
I suggest we start walking.,spongebob,1
I was afraid he was gonna suggest that.,not spongebob,0
"SpongeBob, maybe we oughta take a break from the singing for a while.",not spongebob,0
"Good idea, Patrick. I'll just play the road song on this whistle I got from the souvenir shop.",spongebob,1
"Oh hey son, we're ready to go.",not spongebob,0
"Wow, SpongeBob, you're pretty good with that thing.",not spongebob,0
"Well, thanks, Patrick, glad you think so.",spongebob,1
Apparently I'm not the only one who does.,not spongebob,0
"What do you mean? Who else could-  Oh no, not again.",spongebob,1
The whistle seems to have soothed it.,not spongebob,0
I think it's offering us a ride!,spongebob,1
♪Road. Road. Road. Road. Road. Road.♪,not spongebob,0
♪When I'm above the road. All I see is sky. When I'm above the road. On a giant fruit fly. When I'm above the road.♪,spongebob,1
♪He used to fill us with dread.♪,not spongebob,0
♪When I'm above the road. I'm as snug as a baby bug in bed. Let's all sing the above the road song. I wanna sing it all day long. Let's all sing the above the road song.♪  ♪Let's all sing along!♪,spongebob,1
Duh.,not spongebob,0
"Thanks again. Patrick, I think that is the friendliest terrifyingly large insect I have ever had the pleasure of being carried off by.",spongebob,1
Me too.,not spongebob,0
"SpongeBob? Oh, there you are!",not spongebob,0
"Okay boys, the boat is as good as new and we've got miles and miles of open road ahead of us.",not spongebob,0
Boys?,not spongebob,0
"Do something, Harold!",not spongebob,0
"He's your son, Margaret. He's your son.",not spongebob,0
"C'mon, Mr. Doodles,  we haven't got all day. We've got to get down to me favorite restaurant. Mine. Where we're shooting our first ever Krusty Krab commercial. After this commercial airs, we'll be swarming with customers. I can already feel myself sweatin' money.",not spongebob,0
"No, I got Squidward organizing the whole thing. He's... ya know... artsy.  What the...? This looks expensive. Out of my way. Coming through. Move it or lose it. Squidward!",not spongebob,0
What?,not spongebob,0
What in Neptune's name is going on?,not spongebob,0
"We're making the commercial, Mr. Krabs.",not spongebob,0
"What you're doing is throwing away me money! I told you to rent, only, what is absolutely necessary.",not spongebob,0
This is all necessary.,not spongebob,0
Well what's all this useless junk?,not spongebob,0
"That's the useless junk for scene, uhh, 28!",not spongebob,0
"Oh, well, then how do you explain that:  a second Krusty Krab??",not spongebob,0
"Mr. Krabs, everyone needs an understudy!",not spongebob,0
"Well, ya got me there... but why do we need him?",not spongebob,0
"This job gets very stressful, Mr. Krabs.",not spongebob,0
"All right, get lost, all of ya.  You're fired. Go on. Scram. Get out of here, you moochers. That's right, keep moving.  Except you. You stay.",not spongebob,0
"Well, this is just great. Now we've got no crew to make the commercial.",not spongebob,0
"What are you talking about, Squidward? We got the cheapest crew in the world. You, me, and SpongeBob. Speaking of which, where is the little barnacle?",not spongebob,0
"I'm down here, sir.",spongebob,1
"What are you doing, lad?",not spongebob,0
Squidward said I could help by burying myself.,spongebob,1
Quit fooling and come on out.  I need you to be in the commercial.,not spongebob,0
Me? In the Krusty Krab commercial? Me!,spongebob,1
"But, but, but, but, but, but, but...",not spongebob,0
"Don't throw your buts at me, Mr. Squidward. We got a timetable to keep. This thing airs tonight.",not spongebob,0
Tonight?!,not spongebob,0
"Yup, I got a sweet deal on the prime-time slot.",not spongebob,0
3:28 am,not spongebob,0
"It's almost on, Gary.",spongebob,1
"Yeah, I got butterflies, too. This is the most exciting thing to happen in the history of history.",spongebob,1
"Look, Gary! It's on!",spongebob,1
"Oh, Jen. I've got a real problem.",not spongebob,0
"What's your problem, Amy?",not spongebob,0
I've got all this money and I don't know what to do with it and I'm hungry.,not spongebob,0
Who's there?,not spongebob,0
Where's that coming from?,not spongebob,0
"Yippee, it's Mr. Krabs!",not spongebob,0
"That's right, Amy. I heard all about your little problem and I'm here to help. Follow... me!",not spongebob,0
Where are we?,not spongebob,0
"Why, we're at none other than the Krusty Krab.",not spongebob,0
Did you say Krusty Krab?,not spongebob,0
"That's right, Krusty Krab. Home of the world famous Krabby Patty!",not spongebob,0
What's a Krabby Patty?,not spongebob,0
"Why, it's only the most mouthwatering appetizing food in the seven seas.",not spongebob,0
"THERE I AM, GARY, THERE I AM!",spongebob,1
"We start with a fresh patty, grilled and juicy. Add some crisp undersea veggies and cheese. Topped off with secret sauce and some buns. Voila! A Krabby Patty.",not spongebob,0
I want a Krabby Patty.,not spongebob,0
"Me, too.",not spongebob,0
"How do you like them Krabby Patties, girls?",not spongebob,0
"LOOK, GARY, THERE I AM AGAIN, LOOK!",spongebob,1
"Two more satisfied customers. So why don't you come on in, and have yourself a Krabby Patty today.",not spongebob,0
♪The Krusty Krab: Come Spend Your Money Here!♪,not spongebob,0
"That was the best 60 seconds of my life! Well, time for bed.  Time to go do my favorite thing at my favorite place.",spongebob,1
"Hey, you!",not spongebob,0
"Top of the morning, oldster.",spongebob,1
Hey! I saw you on TV last night.,not spongebob,0
"New, Bran Flakes. Bold, new taste. Bran Flakes.",not spongebob,0
You did?,spongebob,1
Yeah. You were on a commercial.,not spongebob,0
"You're right! Wow, he recognized me.",spongebob,1
"Yup. See ya later, Bran Flakes. What a nice cereal box.",not spongebob,0
"Weren't you that guy on TV? Yes! I am that guy.  How kind of you to notice. Weren't you that guy on the television last night? Yes, that was me. I...",spongebob,1
"Oh, please excuse me, sir.",spongebob,1
"Oh, that's quite all right, uhh, SpongeBob.",not spongebob,0
"Wow. I'm getting recognized all over. Why, next thing you'll know, people are going to start doing things like holding doors open for...  Why, sir, I'm flattered.",spongebob,1
Really? I don't smell anything.,not spongebob,0
You're on your way.,spongebob,1
"Excuse me, sir, can I get a napkin?",not spongebob,0
"Why, of course, good sir. And next time, feel free to approach me. It most be so degrading to ask across the room. And who am I making this bad boy out to?",spongebob,1
To my tail fin. I'll get it myself.,not spongebob,0
"F-I-N. There we are, darling. Hmph. Looks like shyness got the best of him.",spongebob,1
"There you are, SpongeBob. I need you to...",not spongebob,0
"No problem, Squidward. I got one already made out. Enjoy.",spongebob,1
To my tailfin?,not spongebob,0
"Yes, I am that guy on TV.",spongebob,1
"Hey, look!",not spongebob,0
"Please, good people, no photos at work.",spongebob,1
Here's the ketchup.,not spongebob,0
"Well, maybe just one.  Another one? Okay. Limbo. And now, the, uh, oh, I got it.",spongebob,1
"There you are, SpongeBob.",not spongebob,0
"Yes, pilot.",spongebob,1
"I need you to...  ...Ow!  Alright, boy. Get in there and scrub the head and stop acting so predictable.",not spongebob,0
"I'm so misunderstood. Alas, good people, even the brightest of stars grow weary, and I am no exception. But I will shine again after a quick break in my quarters. Stay beautiful.",spongebob,1
"Hey, were you able to catch Glenn the Pinkfish on Flounderman last night?",not spongebob,0
No. How was he?,not spongebob,0
"Well, I knew that this guy's acting was good, but his singing was phenomenal. I'm telling you, Vendor, if that guy was to cut a solo record, he'd be a hit.",not spongebob,0
Solo record!,spongebob,1
"So, if I fire him and make his successor do twice the work, and...  ...eh, come in.  Oh, it's just you, SpongeBob. Those heads better be beautiful.",not spongebob,0
"They are, Mr. Krabs, and so is mine. And now I gotta lay something on ya, Krabs Baby.",spongebob,1
"The only thing you better lay is some patties on the grill, Fry Boy.",not spongebob,0
"Nah, I can't take that gig, Krabber. That phase in my career is over. I'm an entertainer now.",spongebob,1
What in blazes are you talking about?,not spongebob,0
"Come on, Krabs. Let's think outside the box for a second. Commercials are old-hat. The people want music. If I could change fate I would, Krabsy. And I'm an entertainer deep down. A people's person! We're on the same page here, aren't we?",spongebob,1
"Boy, those Krabby fumes must've gotten to your head. Borrow Squidward's gas mask and get right back to work.",not spongebob,0
"I knew you'd understand. Well, thanks for the start. I'm outta here.",spongebob,1
"Oooooh, I've never felt such a strange combination of pity and indigestion.",not spongebob,0
There he is! Hey! We've been waiting for you.,not spongebob,0
Where have you been?,not spongebob,0
How long are you going to keep us standing here?,not spongebob,0
"Well, SpongeBob? Are you just going to stand there like a half-wit, mouth agape? Or are you going to fill these peoples' orders?",not spongebob,0
"Pipe down, Squidward. This crowd looks angry. They're not going to wait any longer. I think I better give them what they need, and fast.",spongebob,1
"I think so, too, or Krabs will fire both of us.  On second thought, keep 'em waiting.",not spongebob,0
"No can do, Squidward. These people demand entertainment.",spongebob,1
Enter-what?,not spongebob,0
"How you doing, folks?",spongebob,1
HUNGRY!,not spongebob,0
"That's no problem, ladies and germs. 'Cause SpongeBob is here to satisfy!",spongebob,1
Hey!,not spongebob,0
Eating here was your idea!,not spongebob,0
"I'd like to call this little number Striped Sweater. ♪The best time to wear a striped sweater is all the time. One with a collar, turtleneck, that's the kind  'Cause when you're wearing...♪",spongebob,1
WE'RE STARVING!,not spongebob,0
"♪That one... special... sweater...♪  Squidward, this crowd is insatiable.",spongebob,1
"Then why don't you back in the kitchen, and grab some patties, and give them what they  CAME HERE FOR?!?!?!",not spongebob,0
"Juggling! Thanks, Squiddy.",spongebob,1
Is this some kind of joke?,not spongebob,0
They want juggling and jokes at the same time? Tough crowd.,spongebob,1
"Oh, now what's he doing?",not spongebob,0
"Uhh, what do you call a vampire whose car breaks down three miles from a blood bank? A cab!",spongebob,1
We're losing our appetites!,not spongebob,0
"Uh, okay. There's a nun, an astronaut, and a hairdryer.",spongebob,1
WE WANT PATTIES!,not spongebob,0
"Well, the most I can juggle is three, but the show must go on. Whoa!",spongebob,1
BOO!,not spongebob,0
"Noooooooooo!  My career is over. All those years clawing my way up. All the people I've stepped on, wasted.",spongebob,1
Hey! Finally!,not spongebob,0
That's what we've been waiting for.,not spongebob,0
"They seem to like it when I put this patty on the grill. I may be able to save this act, yet. Roll with it, SpongeBob. Roll with it. There's more where that came from, folks.",spongebob,1
Yay!,not spongebob,0
You like that?,spongebob,1
It's what we wanted all along.,not spongebob,0
"It seems to be working. But how do I follow it up? Buns!  It's a stretch, but we've all got to push the envelope, sometime. Okay, folks. How do you like this?",spongebob,1
Yeah!,not spongebob,0
I'm breaking new ground. Time to get edgy.,spongebob,1
We want onions! Cheese! Yeah!,not spongebob,0
Ready for the grand finale?,spongebob,1
Whoopee! Krabby Patties!,not spongebob,0
"Well, SpongeBob, looks like you've finally found your calling.",not spongebob,0
I'll say. I'm so glad I gave up fry cooking for this.,spongebob,1
"Let's go!  Hey, kids. Rush hour traffic here in Encino is really bad. A little music should soothe me jangled nerves. At least my in-dash hi-fi still works.  Oh! Me ultra-rare Frampton Comes Alive 8-track destroyed!  And I'm gonna miss the new SpongeBob cartoon if this traffic doesn't move soon!  Who's calling? Yes, Patchy here. Start squawking.",not spongebob,0
"Hey, Patchy, the new SpongeBob cartoon is about to start. Where are you, brawk?",not spongebob,0
"Stuck on the 101. Be a dear and record it for me, will you?",not spongebob,0
"Oh, I threw out that old Betamax machine in the garbage.",not spongebob,0
You what?!,not spongebob,0
You what?!,not spongebob,0
You what?!,not spongebob,0
"Oh, calm down, beardy.",not spongebob,0
"Potty, you know how important this cartoon is to me!  Do you mind? I'm trying to talk to my parrot!  Sorry, Potty. Just some landlubber.  Potty? Hello? Hello? Hello? Hello? Guah. Dropped again.  Curse this traffic!  Oooooh!  Arrrrrrr, home at last. What the...?  Encino... it's gone. No!  You know, kids, this kinda reminds Patchy of an old story. Another story of a lost city. Why don't you check it out? Oh, Encino.",not spongebob,0
"A beautiful specimen, SpongeBob.",not spongebob,0
"Hurry, Patrick, hurry!  How's it look, buddy? Ready for the old scrapbook?",spongebob,1
"More like the scrap-heap.  They never come out right! Oh, well, let's try again.",not spongebob,0
"Okay, Patrick, this one's gonna be a masterpiece.",spongebob,1
I'm ready.,not spongebob,0
"Hi, Patrick!",not spongebob,0
"Oh, I missed it again! This darn camera isn't fast enough.",not spongebob,0
"Hold on a second, Patrick! It's not the poor camera's fault you can't get a photo.",spongebob,1
It's not?,not spongebob,0
"No, it is the very nature of the fragile bubble.",spongebob,1
It is?,not spongebob,0
"Yes, it is, my friend. Allow me to demonstrate.  ♪The sun must set at the end of every day.♪  ♪And the curtain must fall at the end of every play.♪  ♪And every little bubble ever blown must someday pop.♪",spongebob,1
"♪Like presents on Christmas Day, it doesn't seem to stay. Or a cheese soufflé, it doesn't last all day.♪",not spongebob,0
♪I will try again...♪,spongebob,1
♪Try again...♪,not spongebob,0
♪...To blow a bubble...♪,spongebob,1
♪To blow a bubble...♪,not spongebob,0
♪...That will last all day.♪,spongebob,1
♪To blow a bubble that will last...♪,not spongebob,0
"♪...All day.♪  Um, SpongeBob?",not spongebob,0
"Not now, Patrick. This bubble's gonna break all records!",spongebob,1
I hope it doesn't break until we get a little closer to the ground.,not spongebob,0
Huh?  What have I done!?  We're never gonna get out of here!,spongebob,1
No!  What happened?,not spongebob,0
"That's what happened, Patrick.",spongebob,1
"Whoa, what is it? It looks really old.",not spongebob,0
"Antis, what do think that means, Patrick?",spongebob,1
"Antis, Antis...SquarePantis! Probably belonged to your ancient ancestors.  SpongeBob SquarePantis, you must wear the ancient crest of your ancestors, for it is your birthright!",not spongebob,0
"My birthright?! Ow, ooh, ow, ooh, ow! Let's take this to the Bikini Bottom museum, they'll know what it is!",spongebob,1
Oo...uh...beautiful day for standing outside a museum doin' nothin'.,not spongebob,0
Whatever you say.,not spongebob,0
Hello there. Welcome to the museum! That'll be three dollars.,not spongebob,0
But I thought it was free Tuesday.,not spongebob,0
"No, no, no. Today's Monday. Otherwise I wouldn't be wearing this I hate Mondays shirt.",not spongebob,0
Good point.,not spongebob,0
"Enjoy the artifacts!  Don't stand in one place too long, people might mistake you for one.  SpongeBob!  Hew, that was a close one.",not spongebob,0
"Neptune's ascension. The only surviving painting from the great lost city of Atlantis. This is just what the doctor ordered, Squiddy. Spending your day studying the Atlantean masters. And best of all, no Sponge...  Oh, would you two watch were you're  What is that? What are you doing with the amulet of Atlantis?",not spongebob,0
We were just...,spongebob,1
You're going to steal it!?,not spongebob,0
"No. Squidward, we'd never...",spongebob,1
"This is a new low, even for YOU TWO. Lucky for you, I was here today. Stealing artifacts could land you in the stony loneso... ...ooooome?! You boobs found the missing half of the Atlantean amulet?",not spongebob,0
What's an Atlantean omelet?,spongebob,1
"Amulet, not omelet! It's the key to untold riches!",not spongebob,0
Did somebody say untold riches!?,not spongebob,0
"Yes, Eugene. The streets are lined with gold, and the street lamps are made with diamonds.",not spongebob,0
Diamond light bulbs! I wonder what they make the money out of.,not spongebob,0
"For reasons unknown, this great city disappeared one day, but no ruins were ever found. All the inventions that you take for granted, were given to us by the Atlanteans. Their advances in art, financial wealth and weaponry were eons ahead of their time!",not spongebob,0
Why is this bubble painted on the mural?,spongebob,1
That's just the oldest living bubble.,not spongebob,0
"The oldest living bubble, alive!  Behold, Patrick-the oldest living bubble!",spongebob,1
This is the most beautiful bubble I've ever seen.,not spongebob,0
"That's just a painting, you quarter-wit!  Quarter-wit. Ha, it's less than half. The real bubble lives in Atlantis, some dumb old bubble pales in comparison to the arts...",not spongebob,0
Money!,not spongebob,0
"And science, don't forget science. What's all the hubbub, boys?",not spongebob,0
These two chowderbrains found the missing half to the amulet of Atlantis.,not spongebob,0
"The Amulet of Atlantis?! Legend says, that when the two halves are joined, the path to Atlantis is opened! What are y'all waitin' for? Let's hitch them two dogies up! Go on, Squidward!",not spongebob,0
"Hurry up, Squidward, that money ain't gettin' any younger.",not spongebob,0
"Hoo hoo, yeah, hoo hoo hoo!",spongebob,1
The magical path to Atlantis is a van?,not spongebob,0
Nice hot rod flames!,not spongebob,0
What's it doing?,not spongebob,0
"Well, holly-wally ding-dang-doo. Would ya look at that!? Take a gander, y'all!",not spongebob,0
Fabulous decor!,not spongebob,0
"Quite a vessel, but who's manning it?",not spongebob,0
"Greetings. Welcome aboard the seaship Atlantis. This is a nonstop trip, so please take a seat, relax, and we'll be on our way.",not spongebob,0
Bet there's some loose change in here!,not spongebob,0
"Ah, so this is what luxury feels like.",spongebob,1
"Ah, what I wouldn't give for a foot-rub.",not spongebob,0
"Attention, passengers, regretfully, we lack the fuel needed for forward motion.",not spongebob,0
What!?,not spongebob,0
Is this some kind of joke? Where's the gas tank?,not spongebob,0
"We Atlanteans find the use of fossil fuels to be counter-intuitive, and have developed an alternative source we call song.",not spongebob,0
Huh?,not spongebob,0
"The engine of this vessel is fueled by song. The more you sing of your desires, the closer to Atlantis you will get. Let us commence singing.",not spongebob,0
Does that make any sense?,not spongebob,0
"No, but I'm game for singing any day! ♪Sing? Sing a song? A song of wanting to move along!♪  ♪To a land where all our dre-e.♪   Whoops, sorry. ♪To a land where all our dreeeeeams, can finally come true.♪  ♪A bubble I long for, that so eludes me, but soon enough I will seeeeeeeeeeeeeee...♪",spongebob,1
♪Well that's just splendid boy! A land where it rains money! More than you can spend. With fives and tens and fifties and I'll want to be your friend.♪,not spongebob,0
"♪Ha, ha ha. Such a valiant desire - hehehe. The lost weapons of Atlantis - the most advanced of all time. As soon as this dopey song is done, I plan to make them miiiiine!♪",not spongebob,0
"♪Did you all hear something? I can hardly believe that there's a lost city where having smarts is more important-than being pretty!♪  ♪With all their advanced science, and my painfully large mind!♪",not spongebob,0
"♪I bet we can figure out how to make wondrous things, like melons with edible rinds!♪",not spongebob,0
"♪As a connoisseur of fine art, I'm proud to say! I've always seen things in my own special way! 'Art'-lantis, with their glorious aesthetics, I'll copy their style in a while- my art will be prophetic!♪",not spongebob,0
"♪I'm Patrick, I'm Patrick, Patrick-Patrick-Patrick! And I like um, uuuuh,♪  I don't know what I like.",not spongebob,0
"Warning, you have run out of song fuel.",not spongebob,0
"Hey, look, it's Atlantis.",not spongebob,0
Pretty!,spongebob,1
You dimwits haven't even been here two minutes and you've already messed up someone's topiary garden.,not spongebob,0
"Go on, SpongeBob. Ring the bell.",not spongebob,0
"Ring for the king, huh?",spongebob,1
"Welcome to Atlantis. I've been expecting you.  Allow me to introduce myself. I am the Lord Royal Highness, but my friends call me LRH.",not spongebob,0
My friends call me SpongeBob. I'm here to see the oldest living bubble.,spongebob,1
"Yes, of course.",not spongebob,0
What a ripoff! This street ain't gold!,not spongebob,0
"Oh, if it's gold you want, you'll find it in our vault.",not spongebob,0
I'm Eugene. I like money.,not spongebob,0
"Yes, I can see that. Pleasure to meet you. Come, I'll give you the grand tour of our Atlantean fortress. I'm so glad you're all here.",not spongebob,0
"They're gone. Now to get to those weapons...  Trapped! Okay, what do I have to work with here? What's this? Owners manual!? Looks like I found my escape route!  Ow!",not spongebob,0
"For centuries, we Atlanteans spent, nay, wasted our talents and energy building the most sophisticated weaponry to defend ourselves from invaders. But we abandoned the idea of warfare long ago and now all these weapons gather dust behind this locked door as an example of what must be done if one wishes to live in harmony with all creatures of this, or any, world.",not spongebob,0
"Eh, harmony shmarmony. When do we get to see the treasure?!",not spongebob,0
"But of course, follow me.",not spongebob,0
"Comin' through, boys!",not spongebob,0
"These Atlanteans leave a room full of the most advanced weaponry unguarded? No wonder they got lost.  Oh, my! There will be no one to stop me this time!",not spongebob,0
"Well, bad news, kids. Encino's still lost.  Oh! But, at least I got me radio fixed!  Well, enjoy the rest of the show.",not spongebob,0
"It is both an honor and a pleasure to welcome you to Atlantis. We haven't had visitors in some time. You see, being in a lost city has certain disadvantages which I digress. Now if you follow me, I'll show you some of our grandest achievements...",not spongebob,0
"Squidward! You told me the streets were paved with gold. Now that street light better be a 600 karat diamond or else.  Ah hold still, Squidward.",not spongebob,0
You're standing on my neck!,not spongebob,0
Are you all right?,not spongebob,0
"Yeah, but I feel odd.",not spongebob,0
Mr. Krabs?,spongebob,1
"I'd know that smell anywhere.  Me pockets! They be smelling loot! Whoa, whoa, whoa!",not spongebob,0
Those pockets of yours certainly have a nose for treasure.,not spongebob,0
These are me houndstooth pants.,not spongebob,0
What you see here is a glimpse of ancient Atlantean history. Long ago we abandoned our obsession with wealth to focus on the pursuit of knowledge. So help yourselves to as much as you pockets can carry!,not spongebob,0
"As much as me pockets can carry?! ♪Oh, if I'd only known when I woke up today, I'd have stopped at me tailors along the way, and had ten more pockets put on me pants, 'cause I think I hear a money avalanche!♪  ♪Look at all this cash, hey, look at all this money! I hope me heart can take it!♪",not spongebob,0
Clear!,not spongebob,0
"♪I'm alright, sonny! Industrial accidents can make quite a mess. Unless you fall into a money press. Oh, make me into money, Mr. wonderful machine, I always knew that me true color was green! Oh, ever since I was a little kid, I dreamed of such a place, yes I did! With mountains of money, and rivers of cash. And a pool of coins to make a splash! Oh, I'll open up a Krusty Krab with patties made of money. They'd be delicious, and expensive, and taste like golden honey! Money and gold and treasure untold! And all of it for me!♪",not spongebob,0
"Mr. Krabs, we're off to see the bubble, would you care to join us?",not spongebob,0
Are you kidding?! I've just got here!,not spongebob,0
Very well then. Off we go.,not spongebob,0
"SpongeBob, when are we gonna see the bubble?",not spongebob,0
"Patrick, shhh!",spongebob,1
"Don't dally, lads. You don't wanna be left behind do you?",not spongebob,0
"No, sir.",spongebob,1
"You know, LRH, I was born with a scientific curiosity and I was wonderin' if I could have a look at some of your scientific achievements?",not spongebob,0
"Of course, Miss Cheeks, here we are, the combination of all our technology. I give you the Atlantean Hall of Science.",not spongebob,0
Hoppin' acorns. Look at all this high tech gear!  What does this gizmo do?,not spongebob,0
"It's a biomass converting device. It can take any household object--this comb, for example--and turn it into say, ice cream. Would anyone like to try?",not spongebob,0
"Oh me, me, me, me, meee, mee!",not spongebob,0
Go ahead!,not spongebob,0
Yay!,not spongebob,0
Comb flavored.,spongebob,1
What else can it turn things into?,not spongebob,0
"Actually it can only turn things into ice cream. We haven't worked out that bug yet but I can show you the most amazing/fantastic device created by Atlantean hands. Behold, this grand machine allows the user to shrink down to nano-stature, enabling them to battle germs hand to hand.",not spongebob,0
How's it work?,not spongebob,0
Please have a seat and I'll show you. Now...,not spongebob,0
"Hey, cool.",spongebob,1
Where'd SpongeBob go?,not spongebob,0
"Right now, his molecules are being broken down into data which is assembled in this computer and is stored on these tapes, then re-assembled on a much smaller scale...",not spongebob,0
Someone help me!,spongebob,1
"And finally passes through this tube into this tank which contains every living element known to...  Oh, dear heavens! It looks like our scientists were working on a very aggressive case of the sniffles! He could be in trouble.",not spongebob,0
"Don't worry, SpongeBob. I'm coming to help you!",not spongebob,0
"Okay, I've seen enough. Let me out of this thing!  What's going on here? I... Oh no.",not spongebob,0
"Squidward, don't make any sudden movements!",spongebob,1
Help!,not spongebob,0
"Help, Sandy!",not spongebob,0
